Model,Macro-AUC,background_AUC,crunch_AUC,noise_AUC,roar_AUC,roar_o_AUC,whoop_AUC,whoop_o_AUC
DinoV2,0.8306938089516761,0.9294186599933151,0.8910824501414476,0.8494732708265922,0.7906786986057777,0.7420026818352053,0.8547475563635548,0.7574533448958402
BEATs,0.8614900764317845,0.9447263470257784,0.933441042867208,0.8934521093312723,0.8682162777820295,0.7822803854541681,0.9107071115151106,0.6976072610469254
Dasheng,0.8635797848016835,0.9403891937696276,0.934549250398408,0.8894077857504968,0.8734035321499476,0.7843703386451242,0.9216162228282216,0.7013221700699585
EfficientNet,0.8313277246966985,0.9212933701684229,0.8934082129311711,0.8418231834869196,0.8425692496769923,0.7420613777483415,0.877020278535277,0.7011184003297649
